genome_refseq_accession,protein_name,protein_refseq_accession
GCF_002099425.1,ATN1,XP_020830224.1
GCF_005870125.1,ATN1,XP_021393449.1
GCF_005870125.1,ATN1,XP_021393446.1
GCF_000955945.1,ATN1,XP_011904871.1
GCF_021288785.2,ATN1,XP_054369134.1
GCF_000001635.27,ATN1,NP_001078961.1
GCF_000001635.27,ATN1,XP_030109608.1
GCF_023065955.2,ATN1,XP_048077880.1
GCF_001890085.2,ATN1,XP_019495267.1
GCF_009762305.2,ATN1,XP_027435827.1
GCF_023065955.2,ATN1,XP_026375699.1
GCF_021288785.2,ATN1,XP_054369132.1
GCF_023159225.1,ATN1,XP_048206136.1
GCF_000955945.1,ATN1,XP_011904870.1
GCF_006547405.1,ATN1,XP_030735346.1
GCF_011100635.1,ATN1,XP_036598373.1
GCF_021288785.2,ATN1,XP_054369133.1
GCF_009762305.2,ATN1,XP_027435427.1
GCF_000001635.27,ATN1,XP_030109610.1
GCF_027595985.1,ATN1,XP_054993533.1
GCF_027595985.1,ATN1,XP_054993532.1
GCF_021288785.2,ATN1,XP_054369131.1
GCF_000001635.27,ATN1,XP_006539206.1
GCF_000955945.1,ATN1,XP_011904866.1
GCF_000955945.1,ATN1,XP_011904869.1
GCF_000001635.27,ATN1,XP_006539199.1
GCF_000001635.27,ATN1,XP_006539202.1
GCF_003426925.1,ATN1,XP_026253753.1
GCF_017639785.1,ATN1,XP_040590828.1
GCF_002099425.1,ATN1,XP_020830216.1
GCF_011100635.1,ATN1,XP_036598371.1
GCF_017639785.1,ATN1,XP_040590829.1
GCF_902635505.1,ATN1,XP_031818790.1
GCF_017639785.1,ATN1,XP_040590831.1
GCF_020740685.1,ATN1,XP_045004646.1
GCF_020740685.1,ATN1,XP_045004644.1
GCF_011100635.1,ATN1,XP_036598369.1
GCF_020740685.1,ATN1,XP_045004645.1
GCF_002099425.1,ATN1,XP_020830202.1
GCF_028641065.1,ATN1,XP_055515583.1
GCF_902635505.1,ATN1,XP_031818785.1
GCF_019393635.1,ATN1,XP_043847306.1
GCF_019393635.1,ATN1,XP_043847307.1
GCF_000001635.27,ATN1,XP_030109606.1
GCF_003426925.1,ATN1,XP_026253752.1
GCF_027887165.1,ATN1,XP_007493102.1
GCF_000001635.27,ATN1,XP_030109603.1
GCF_003426925.1,ATN1,XP_026253749.1
GCF_900408965.1,ATN1,XP_039908121.1
GCF_011100635.1,ATN1,XP_036598370.1
GCF_018350175.1,ATN1,XP_023113833.2
GCF_902635505.1,ATN1,XP_031818789.1
GCF_002099425.1,ATN1,XP_020830209.1
GCF_027887165.1,ATN1,XP_001364476.1
GCF_900408965.1,ATN1,XP_039908119.1
GCF_900408965.1,ATN1,XP_039908118.1
GCF_027887165.1,ATN1,XP_007493101.1
GCF_023159225.1,ATN1,XP_048206133.1
GCF_900408965.1,ATN1,XP_039908120.1
GCF_001858045.2,ATN1,XP_005459105.1
GCF_023159225.1,ATN1,XP_048206130.1
GCF_011764305.1,ATN1,CAI5687662.1
GCF_000151735.1,ATN1,XP_005004435.1
GCF_017639785.1,ATN1,XP_040590830.1
GCF_011764305.1,ATN1,CAI5687660.1
GCF_001858045.2,ATN1,XP_005459106.1
GCF_028641065.1,ATN1,XP_055515580.1
GCF_028641065.1,ATN1,XP_055515575.1
GCF_011764305.1,ATN1,CAI5687661.1
GCF_017639785.1,ATN1,XP_040590826.1
GCF_017639785.1,ATN1,XP_040590827.1
GCF_000004195.4,ATN1,XP_031761446.1
GCF_000151735.1,ATN1,XP_005004434.1
GCF_000151735.1,ATN1,XP_003471494.1
GCF_027744805.1,ATN1,XP_054624130.1
GCF_000004195.4,ATN1,XP_004916197.1
GCF_027744805.1,ATN1,XP_054624113.1
GCF_000247695.1,ATN1,EHB16658.1
GCF_027744805.1,ATN1,XP_054624121.1
GCF_000004195.4,ATN1,XP_002936427.2
GCF_000004195.4,ATN1,XP_031761445.1
GCF_902827165.1,ATN1,XP_033994448.1
GCF_902827165.1,ATN1,XP_033994446.1
GCF_902827165.1,ATN1,XP_033994449.1
GCF_011764305.1,ATN1,CAI5647287.1
GCF_902827165.1,ATN1,XP_033994447.1
GCF_027744805.1,ATN1,XP_054624097.1
GCF_001858045.2,ATN1,XP_019205102.1
GCF_001858045.2,ATN1,XP_005478245.1
GCF_001858045.2,ATN1,XP_013126563.1
GCF_900408965.1,ATN1,XP_039903836.1
GCF_900408965.1,ATN1,XP_039903835.1
GCF_001858045.2,ATN1,XP_005478242.1
GCF_902827165.1,ATN1,XP_034000706.1
GCF_011764305.1,ATN1,CAI5647290.1
GCF_900408965.1,ATN1,XP_039903827.1
GCF_902827165.1,ATN1,XP_034000705.1
GCF_902827165.1,ATN1,XP_034000701.1
GCF_001890085.2,ATN1,XP_019495270.1
GCF_902827165.1,ATN1,XP_034000704.1
GCF_000004195.4,ATN1,XP_031761300.1
GCF_002863925.1,TBP,XP_001499379.1
GCF_000622305.1,TBP,XP_008841626.1
GCF_014176215.1,TBP,XP_015980562.2
GCF_011100685.1,TBP,XP_005627792.1
GCF_023159225.1,TBP,XP_048210443.1
GCF_006547405.1,TBP,XP_030708739.1
GCF_015220235.1,TBP,XP_037673747.1
GCF_017639785.1,TBP,XP_040614056.1
GCF_018350175.1,TBP,AFW05037.1
GCF_000247695.1,TBP,XP_004868916.1
GCF_017639785.1,TBP,NP_001268562.1
GCF_002204375.1,TBP,XP_021513091.1
GCF_014108235.1,TBP,XP_036171893.1
GCF_907164565.1,TBP,XP_055471988.1
GCF_000151735.1,TBP,XP_003466502.1
GCF_000001635.27,TBP,EDL20460.1
GCF_000001635.27,TBP,NP_038712.3
GCF_020740685.1,TBP,XP_004651123.1
GCF_000001635.27,TBP,AAH50136.1
GCF_000001635.27,TBP,BAC39346.1
GCF_014176215.1,TBP,KAF6508503.1
GCF_027595985.1,TBP,XP_004617419.1
GCF_002099425.1,TBP,XP_020827705.1
GCF_902635505.1,TBP,XP_031793297.1
GCF_019393635.1,TBP,XP_043819757.1
GCF_027887165.1,TBP,XP_007485006.1
GCF_015852505.1,TBP,XP_038617075.1
GCF_004115215.2,TBP,XP_028903249.1
GCF_016699485.2,TBP,NP_001383119.1
GCF_016699485.2,TBP,O13270.1
GCF_016699485.2,TBP,ABY55311.1
GCF_004329235.1,TBP,XP_028579810.1
GCF_014108235.1,TBP,XP_036171894.1
GCF_000955945.1,TBP,XP_011941245.1
GCF_000247695.1,TBP,EHB17581.1
GCF_011764305.1,TBP,XP_044935891.1
GCF_902635505.1,TBP,XP_031793307.1
GCF_011100635.1,TBP,XP_036623463.1
GCF_001890085.2,TBP,XP_019515047.1
GCF_000004195.4,TBP,NP_001016339.1
GCF_019393635.1,TBP,XP_043819763.1
GCF_000090745.2,TBP,XP_003215872.1
GCF_027744805.1,TBP,XP_054625614.1
GCF_023159225.1,TBP,XP_048210442.1
GCF_902827165.1,TBP,XP_033972262.1
GCF_001858045.2,TBP,XP_013132505.1
GCF_028641065.1,TBP,XP_055491077.1
GCF_000003025.6,TBP,XP_020941142.1
GCF_015220235.1,TBP,XP_037673748.1
GCF_000001635.27,TBP,AAH16476.1
GCF_010993605.1,TBP,XP_032803466.1
GCF_003426925.1,TBP,XP_026236534.1
GCF_000004195.4,TBP,KAE8601706.1
GCF_016699485.2,TBP,DAA06035.1
GCF_016699485.2,TBP,NP_001092323.2
GCF_014108235.1,TBP,XP_036171896.1
GCF_016699485.2,TBP,XP_046774877.1
GCF_005870125.1,TBP,XP_021390340.1
GCF_014176215.1,TBP,KAF6508495.1
GCF_000247695.1,TBP,XP_012923375.1
GCF_000622305.1,TBP,XP_008837755.1
GCF_015220235.1,TBP,XP_037691236.1
GCF_027887165.1,TBP,XP_001376601.1
GCF_020740685.1,TBP,XP_004649268.1
GCF_028641065.1,TBP,XP_055496437.1
GCF_000151735.1,TBP,XP_003472526.1
GCF_902635505.1,TBP,XP_031805371.1
GCF_018350175.1,TBP,XP_044915875.1
GCF_000955945.1,TBP,XP_011917280.1
GCF_003426925.1,TBP,XP_026239922.1
GCF_014176215.1,TBP,XP_016000352.2
GCF_015852505.1,TBP,XP_038612639.1
GCF_014108235.1,TBP,XP_036163951.1
GCF_005870125.1,TBP,OWK54287.1
GCF_011100635.1,TBP,XP_036592958.1
GCF_021288785.2,TBP,XP_045757939.1
GCF_002099425.1,TBP,XP_020841815.1
GCF_011764305.1,TBP,XP_004739375.2
GCF_001890085.2,TBP,XP_019501642.1
GCF_014570535.1,TBP,KAI5946281.1
GCF_019393635.1,TBP,XP_043845202.1
GCF_011100685.1,TBP,XP_038528921.1
GCF_009762305.2,TBP,XP_027426164.1
GCF_000004195.4,TBP,NP_001017309.1
GCF_023159225.1,TBP,XP_048218004.1
GCF_004329235.1,TBP,XP_028584244.1
GCF_011100685.1,TBP,XP_038454123.1
GCF_000003025.6,TBP,XP_020958024.1
GCF_000003025.6,TBP,XP_013848896.1
GCF_014176215.1,TBP,KAF6508494.1
GCF_000003025.6,TBP,XP_020957995.1
GCF_000003025.6,TBP,XP_020957999.1
GCF_027595985.1,TBP,XP_004601822.2
GCF_001858045.2,TBP,XP_005461977.1
GCF_900408965.1,TBP,XP_039905725.1
GCF_016699485.2,TBP,AAF71245.1
GCF_902827165.1,TBP,XP_034004863.1
GCF_027744805.1,TBP,XP_054652681.1
GCF_000247695.1,TBP,XP_021104891.1
GCF_004115215.2,TBP,XP_039770013.1
GCF_902827165.1,TBP,XP_034004862.1
GCF_017639785.1,TBP,XP_005083806.1
GCF_902827165.1,TBP,XP_034004860.1
GCF_907164565.1,TBP,XP_055455734.1
GCF_018350175.1,TBP,XP_044915876.1
GCF_017639785.1,TBP,XP_021090721.1
GCF_002204375.1,TBP,XP_021516155.1
GCF_000001635.27,TBP,EDL08159.1
GCF_000001635.27,TBP,NP_001276618.1
GCF_000003025.6,TBP,XP_020958006.1
GCF_000001635.27,TBP,NP_951014.1
GCF_014570535.1,TBP,XP_036872127.1
GCF_000003025.6,TBP,XP_020958004.1
GCF_014108235.1,TBP,XP_036171895.1
GCF_014176215.1,TBP,KAF6508501.1
GCF_017639785.1,TBP,XP_040600809.1
GCF_000004195.4,TBP,KAE8601707.1
GCF_017639785.1,TBP,XP_040600810.1
GCF_017639785.1,TBP,XP_040600807.1
GCF_000003025.6,TBP,XP_020958009.1
GCF_000247695.1,TBP,EHA97266.1
GCF_027887165.1,TBP,XP_007472994.1
GCF_027887165.1,TBP,XP_016286505.1
GCF_016699485.2,TBP,XP_046774879.1
GCF_016699485.2,TBP,XP_046774878.1
GCF_000247695.1,TBP,XP_021104892.1
GCF_018350175.1,TBP,XP_044915877.1
GCF_014176215.1,TBP,XP_016000353.2
GCF_027744805.1,TBP,XP_054619160.1
GCF_011764305.1,TBP,CAI5657988.1
GCF_011764305.1,TBP,CAI5657987.1
GCF_014176215.1,TBP,KAF6508497.1
GCF_011764305.1,TBP,CAI5657986.1
GCF_011764305.1,TBP,CAI5657989.1
GCF_001858045.2,TBP,XP_005471614.1
GCF_018350175.1,TBP,XP_044915878.1
GCF_900408965.1,TBP,XP_039870156.1
GCF_000247695.1,TBP,XP_021104893.1
GCF_902827165.1,TBP,XP_033994266.1
GCF_010993605.1,TBP,XP_032815463.1
GCF_016699485.2,TBP,NP_990086.1
GCF_004329235.1,TBP,XP_028579307.1
GCF_027887165.1,TBP,XP_007507932.2
GCF_000004195.4,TBP,NP_001004932.1
GCF_004115215.2,TBP,XP_001506923.2
GCF_000090745.2,TBP,XP_003229959.1
GCF_015220235.1,TBP,XP_037672930.1
GCF_015852505.1,TBP,XP_038622376.1
GCF_020740685.1,TBP,XP_045002733.1
GCF_000247695.1,PPP2R2B,XP_004854407.1
GCF_003426925.1,PPP2R2B,XP_026240177.1
GCF_000003025.6,PPP2R2B,XP_020936521.1
GCF_023159225.1,PPP2R2B,XP_048187386.1
GCF_000247695.1,PPP2R2B,XP_004854408.1
GCF_015220235.1,PPP2R2B,XP_037656777.1
GCF_018350175.1,PPP2R2B,XP_011281089.3
GCF_027595985.1,PPP2R2B,XP_054997187.1
GCF_000003025.6,PPP2R2B,XP_020936493.1
GCF_002863925.1,PPP2R2B,XP_023473252.1
GCF_015220235.1,PPP2R2B,XP_037656779.1
GCF_014176215.1,PPP2R2B,XP_015982032.1
GCF_000247695.1,PPP2R2B,XP_004854409.1
GCF_000003025.6,PPP2R2B,XP_020936487.1
GCF_000003025.6,PPP2R2B,XP_020936504.1
GCF_023159225.1,PPP2R2B,XP_048187384.1
GCF_027595985.1,PPP2R2B,XP_054997185.1
GCF_011100685.1,PPP2R2B,XP_003638963.1
GCF_000003025.6,PPP2R2B,XP_020936508.1
GCF_011100685.1,PPP2R2B,XP_003433828.1
GCF_011100685.1,PPP2R2B,XP_005617410.1
GCF_027887165.1,PPP2R2B,XP_001369150.1
GCF_000001635.27,PPP2R2B,EDL10024.1
GCF_004329235.1,PPP2R2B,XP_028573729.1
GCF_014570535.1,PPP2R2B,KAI5941982.1
GCF_000090745.2,PPP2R2B,XP_003224143.1
GCF_017639785.1,PPP2R2B,XP_040597801.1
GCF_017639785.1,PPP2R2B,XP_040597798.1
GCF_016699485.2,PPP2R2B,XP_015149540.1
GCF_000247695.1,PPP2R2B,EHB12576.1
GCF_005870125.1,PPP2R2B,XP_021398760.1
GCF_004115215.2,PPP2R2B,XP_028907142.1
GCF_000004195.4,PPP2R2B,XP_012814476.1
GCF_015852505.1,PPP2R2B,XP_038628717.1
GCF_000003025.6,PPP2R2B,XP_020936502.1
GCF_014108235.1,PPP2R2B,XP_036169714.1
GCF_014108235.1,PPP2R2B,XP_036169706.1
GCF_014176215.1,PPP2R2B,XP_015982034.2
GCF_000622305.1,PPP2R2B,XP_008819847.1
GCF_907164565.1,PPP2R2B,XP_055478568.1
GCF_018350175.1,PPP2R2B,XP_019689494.1
GCF_015220235.1,PPP2R2B,XP_037656780.1
GCF_015220235.1,PPP2R2B,XP_037656778.1
GCF_014108235.1,PPP2R2B,XP_036169712.1
GCF_011100685.1,PPP2R2B,XP_003433830.1
GCF_009762305.2,PPP2R2B,XP_027461329.1
GCF_009762305.2,PPP2R2B,XP_027461328.1
GCF_011764305.1,PPP2R2B,XP_004744745.1
GCF_000003025.6,PPP2R2B,XP_020936529.1
GCF_014176215.1,PPP2R2B,KAF6448436.1
GCF_000001635.27,PPP2R2B,BAE28701.1
GCF_000003025.6,PPP2R2B,XP_020936519.1
GCF_023159225.1,PPP2R2B,XP_048187385.1
GCF_000622305.1,PPP2R2B,XP_008819850.1
GCF_011100685.1,PPP2R2B,XP_005617411.2
GCF_015220235.1,PPP2R2B,XP_037656783.1
GCF_017639785.1,PPP2R2B,XP_040597806.1
GCF_011100685.1,PPP2R2B,XP_003433829.1
GCF_011764305.1,PPP2R2B,XP_004744749.1
GCF_002204375.1,PPP2R2B,XP_021516982.1
GCF_000001635.27,PPP2R2B,NP_001390894.1
GCF_027595985.1,PPP2R2B,XP_054997186.1
GCF_011100685.1,PPP2R2B,XP_022264925.1
GCF_019393635.1,PPP2R2B,XP_043840020.1
GCF_011100685.1,PPP2R2B,XP_022264931.1
GCF_002099425.1,PPP2R2B,XP_020819937.1
GCF_027887165.1,PPP2R2B,XP_016281980.1
GCF_004329235.1,PPP2R2B,XP_028573728.1
GCF_004329235.1,PPP2R2B,XP_028573726.1
GCF_027887165.1,PPP2R2B,XP_001369185.1
GCF_000003025.6,PPP2R2B,XP_020936515.1
GCF_027887165.1,PPP2R2B,XP_007473902.1
GCF_000090745.2,PPP2R2B,XP_003224144.1
GCF_000003025.6,PPP2R2B,NP_999190.1
GCF_019393635.1,PPP2R2B,XP_043840018.1
GCF_002099425.1,PPP2R2B,XP_020819936.1
GCF_027887165.1,PPP2R2B,XP_016281974.1
GCF_016699485.2,PPP2R2B,XP_004945109.1
GCF_004329235.1,PPP2R2B,XP_028573727.1
GCF_027887165.1,PPP2R2B,XP_007473903.1
GCF_017639785.1,PPP2R2B,XP_040597800.1
GCF_017639785.1,PPP2R2B,XP_040597802.1
GCF_005870125.1,PPP2R2B,XP_021398759.1
GCF_004115215.2,PPP2R2B,XP_028907141.1
GCF_015852505.1,PPP2R2B,XP_038628716.1
GCF_004115215.2,PPP2R2B,XP_028907143.1
GCF_014108235.1,PPP2R2B,KAF6349791.1
GCF_000004195.4,PPP2R2B,XP_012814475.1
GCF_900408965.1,PPP2R2B,XP_039871373.1
GCF_000004195.4,PPP2R2B,CAJ82079.1
GCF_000004195.4,PPP2R2B,NP_001016458.1
GCF_001858045.2,PPP2R2B,XP_003445888.1
GCF_028641065.1,PPP2R2B,XP_055498560.1
GCF_028641065.1,PPP2R2B,XP_055498563.1
GCF_028641065.1,PPP2R2B,XP_055499015.1
GCF_027744805.1,PPP2R2B,XP_054647869.1
GCF_010993605.1,PPP2R2B,XP_032807881.1
GCF_027887165.1,PPP2R2B,XP_001364588.1
GCF_902635505.1,PPP2R2B,XP_031799282.1
GCF_000003025.6,PPP2R2B,XP_020956628.1
GCF_014570535.1,PPP2R2B,XP_017535993.1
GCF_016699485.2,PPP2R2B,XP_003641302.1
GCF_014108235.1,PPP2R2B,XP_036184369.1
GCF_907164565.1,PPP2R2B,XP_055479950.1
GCF_005870125.1,PPP2R2B,XP_021406436.1
GCF_017639785.1,PPP2R2B,XP_005068896.1
GCF_011764305.1,PPP2R2B,XP_004770583.1
GCF_000004195.4,PPP2R2B,XP_031751194.1
GCF_020740685.1,PPP2R2B,XP_044990445.1
GCF_014176215.1,PPP2R2B,XP_016016728.1
GCF_000001635.27,PPP2R2B,NP_766582.1
GCF_015220235.1,PPP2R2B,XP_037685276.1
GCF_000247695.1,PPP2R2B,XP_004847376.1
GCF_004115215.2,PPP2R2B,XP_028920032.1
GCF_027595985.1,PPP2R2B,XP_004617474.1
GCF_015852505.1,PPP2R2B,XP_038601004.1
GCF_020740685.1,PPP2R2B,XP_044990444.1
GCF_000004195.4,PPP2R2B,XP_002938313.1
GCF_004329235.1,PPP2R2B,XP_028601077.1
GCF_027744805.1,PPP2R2B,XP_054647114.1
GCF_900408965.1,PPP2R2B,XP_039871372.1
GCF_001858045.2,PPP2R2B,XP_003445889.1
GCF_001858045.2,PPP2R2B,XP_005467689.1
GCF_002099425.1,PPP2R2B,XP_020863383.1
GCF_019393635.1,PPP2R2B,XP_043841849.1
GCF_002099425.1,PPP2R2B,XP_020863384.1
GCF_027887165.1,PPP2R2B,XP_016283763.1
GCF_027887165.1,PPP2R2B,XP_001371464.1
GCF_027887165.1,PPP2R2B,XP_007477874.1
GCF_014176215.1,PPP2R2B,KAF6402136.1
GCF_010993605.1,PPP2R2B,XP_032807876.1
GCF_027887165.1,PPP2R2B,XP_007477873.1
GCF_000003025.6,PPP2R2B,Q29090.1
GCF_016699485.2,PPP2R2B,XP_015152800.3
GCF_000151735.1,PPP2R2B,XP_003479719.1
GCF_000090745.2,PPP2R2B,XP_008118386.1
GCF_902635505.1,PPP2R2B,XP_031805502.1
GCF_011100635.1,PPP2R2B,XP_036606372.1
GCF_015220235.1,PPP2R2B,XP_037654967.1
GCF_002099425.1,PPP2R2B,XP_020863385.1
GCF_000090745.2,PPP2R2B,XP_008109531.1
GCF_001890085.2,PPP2R2B,XP_019515104.1
GCF_028641065.1,PPP2R2B,XP_055498997.1
GCF_000247695.1,PPP2R2B,XP_021121826.1
GCF_019393635.1,PPP2R2B,XP_043841846.1
GCF_000001635.27,PPP2R2B,EDL35981.1
GCF_000090745.2,PPP2R2B,XP_016852693.1
GCF_016699485.2,PPP2R2B,XP_015152799.3
GCF_000090745.2,PPP2R2B,XP_008104908.1
GCF_011100685.1,PPP2R2B,XP_022265656.1
GCF_000003025.6,PPP2R2B,NP_001157492.1
GCF_028641065.1,PPP2R2B,XP_055499006.1
GCF_011100685.1,PPP2R2B,XP_038291296.1
GCF_014176215.1,PPP2R2B,KAF6402141.1
GCF_014108235.1,PPP2R2B,KAF6349786.1
GCF_027595985.1,PPP2R2B,XP_004619199.1
GCF_023159225.1,PPP2R2B,XP_048186268.1
GCF_016699485.2,PPP2R2B,NP_001026057.1
GCF_010993605.1,PPP2R2B,XP_032807879.1
GCF_014570535.1,PPP2R2B,XP_036880569.1
GCF_011764305.1,PPP2R2B,XP_004763295.1
GCF_004329235.1,PPP2R2B,XP_028585731.1
GCF_014570535.1,PPP2R2B,XP_017509895.1
GCF_011100685.1,PPP2R2B,XP_038291297.1
GCF_014570535.1,PPP2R2B,XP_017509894.1
GCF_010993605.1,PPP2R2B,XP_032807878.1
GCF_004329235.1,PPP2R2B,XP_028564084.1
GCF_000001635.27,PPP2R2B,EDL35982.1
GCF_005870125.1,PPP2R2B,OWK50849.1
GCF_028641065.1,PPP2R2B,XP_055499032.1
GCF_016699485.2,PPP2R2B,NP_001006507.2
GCF_016699485.2,PPP2R2B,Q5ZIY5.1
GCF_015220235.1,PPP2R2B,XP_037668529.1
GCF_014570535.1,PPP2R2B,XP_017509892.1
GCF_000622305.1,PPP2R2B,XP_008829190.1
GCF_014570535.1,PPP2R2B,XP_017509896.1
GCF_014570535.1,PPP2R2B,XP_017509893.1
GCF_017639785.1,PPP2R2B,XP_005075281.1
GCF_011764305.1,PPP2R2B,XP_044925437.1
GCF_014570535.1,PPP2R2B,XP_036880568.1
GCF_005870125.1,PPP2R2B,XP_021401949.2
GCF_027744805.1,PPP2R2B,XP_054647867.1
GCF_000247695.1,PPP2R2B,XP_004838774.1
GCF_010993605.1,PPP2R2B,XP_032807880.1
GCF_000151735.1,PPP2R2B,XP_012999012.2
GCF_016699485.2,PPP2R2B,AAN85209.1
GCF_000247695.1,PPP2R2B,XP_021108914.1
GCF_014570535.1,PPP2R2B,XP_017509891.1
GCF_015220235.1,PPP2R2B,XP_037660069.1
GCF_014570535.1,PPP2R2B,XP_036880570.1
GCF_023065955.2,PPP2R2B,XP_026350207.1
GCF_009762305.2,PPP2R2B,XP_027456356.1
GCF_002863925.1,PPP2R2B,XP_023492642.1
GCF_014570535.1,PPP2R2B,XP_036880573.1
GCF_015852505.1,PPP2R2B,XP_038602837.1
GCF_004115215.2,PPP2R2B,XP_028921394.1
GCF_902635505.1,PPP2R2B,XP_031799279.1
GCF_004115215.2,PPP2R2B,XP_039768097.1
GCF_902635505.1,PPP2R2B,XP_031799281.1
GCF_000001635.27,PPP2R2B,NP_080667.1
GCF_000001635.27,PPP2R2B,BAC98196.2
GCF_023065955.2,PPP2R2B,XP_026350208.1
GCF_004115215.2,PPP2R2B,XP_028921392.1
GCF_014570535.1,PPP2R2B,XP_036880571.1
GCF_020740685.1,PPP2R2B,XP_044997776.1
GCF_011100635.1,PPP2R2B,XP_036619404.1
GCF_000247695.1,PPP2R2B,XP_021108913.1
GCF_011100685.1,PPP2R2B,XP_005618498.1
GCF_004115215.2,PPP2R2B,XP_028921393.1
GCF_027887165.1,PPP2R2B,XP_007496819.1
GCF_027887165.1,PPP2R2B,XP_007496821.1
GCF_004115215.2,PPP2R2B,XP_039768096.1
GCF_027887165.1,PPP2R2B,XP_007496823.1
GCF_005870125.1,PPP2R2B,XP_021406434.1
GCF_000003025.6,PPP2R2B,XP_020956629.1
GCF_027887165.1,PPP2R2B,XP_007496820.1
GCF_902635505.1,PPP2R2B,XP_031799283.1
GCF_014570535.1,PPP2R2B,XP_017535994.1
GCF_016699485.2,PPP2R2B,XP_040526361.1
GCF_018350175.1,PPP2R2B,XP_023096886.2
GCF_027744805.1,PPP2R2B,XP_054647112.1
GCF_005870125.1,PPP2R2B,XP_021406432.1
GCF_902635505.1,PPP2R2B,XP_031799280.1
GCF_002204375.1,PPP2R2B,XP_021486332.1
GCF_005870125.1,PPP2R2B,XP_021406433.1
GCF_011764305.1,PPP2R2B,XP_004770584.1
GCF_015220235.1,PPP2R2B,XP_037660070.1
GCF_001890085.2,PPP2R2B,XP_019499656.1
GCF_000622305.1,PPP2R2B,XP_008852021.1
GCF_002099425.1,PPP2R2B,XP_020847751.1
GCF_023159225.1,PPP2R2B,XP_048193970.1
GCF_001858045.2,PPP2R2B,XP_019221488.1
GCF_014108235.1,PPP2R2B,XP_036184388.1
GCF_023159225.1,PPP2R2B,XP_048193969.1
GCF_021288785.2,PPP2R2B,XP_045737470.1
GCF_001858045.2,PPP2R2B,XP_003438324.1
GCF_000003025.6,PPP2R2B,XP_020956631.1
GCF_009762305.2,PPP2R2B,XP_027442631.1
GCF_016699485.2,PPP2R2B,XP_004936234.1
GCF_009762305.2,PPP2R2B,XP_027442639.1
GCF_017639785.1,PPP2R2B,XP_005064320.1
GCF_019393635.1,PPP2R2B,XP_043838861.1
GCF_017639785.1,PPP2R2B,XP_040602930.1
GCF_014570535.1,PPP2R2B,KAI5946058.1
GCF_002099425.1,PPP2R2B,XP_020828751.1
GCF_000004195.4,PPP2R2B,NP_001006697.1
GCF_005870125.1,PPP2R2B,XP_021406437.1
GCF_016699485.2,PPP2R2B,XP_040526364.1
GCF_018350175.1,PPP2R2B,XP_019685350.1
GCF_014108235.1,PPP2R2B,XP_036191598.1
GCF_015220235.1,PPP2R2B,XP_037685277.1
GCF_000622305.1,PPP2R2B,XP_008821364.1
GCF_021288785.2,PPP2R2B,XP_054364445.1
GCF_000001635.27,PPP2R2B,NP_001346932.1
GCF_000247695.1,PPP2R2B,XP_004847377.1
GCF_005870125.1,PPP2R2B,XP_031360444.1
GCF_014176215.1,PPP2R2B,XP_016016729.1
GCF_015220235.1,PPP2R2B,XP_037685275.1
GCF_001890085.2,PPP2R2B,XP_019499652.1
GCF_000001635.27,PPP2R2B,XP_006504034.1
GCF_011764305.1,PPP2R2B,XP_044924452.1
GCF_011100635.1,PPP2R2B,XP_036591629.1
GCF_011100685.1,PPP2R2B,XP_005637952.1
GCF_004115215.2,PPP2R2B,XP_028920033.1
GCF_015220235.1,PPP2R2B,XP_037685274.1
GCF_003426925.1,PPP2R2B,XP_026266064.1
GCF_027595985.1,PPP2R2B,XP_054994349.1
GCF_000001635.27,PPP2R2B,EDL35978.1
GCF_000004195.4,PPP2R2B,XP_004911300.1
GCF_015852505.1,PPP2R2B,XP_038601005.1
GCF_000151735.1,PPP2R2B,XP_013001990.1
GCF_027744805.1,PPP2R2B,XP_054653797.1
GCF_000001635.27,PPP2R2B,EDL37518.1
GCF_020740685.1,PPP2R2B,XP_044990446.1
GCF_014176215.1,PPP2R2B,KAF6432160.1
GCF_000004195.4,PPP2R2B,NP_001011075.1
GCF_000955945.1,PPP2R2B,XP_011944290.1
GCF_011764305.1,PPP2R2B,XP_044924451.1
GCF_005870125.1,PPP2R2B,XP_021405742.1
GCF_902827165.1,PPP2R2B,XP_033981714.1
GCF_900408965.1,PPP2R2B,XP_039874912.1
GCF_000090745.2,PPP2R2B,XP_003221405.1
GCF_902635505.1,PPP2R2B,XP_031812904.1
GCF_005870125.1,PPP2R2B,XP_021405743.1
GCF_005870125.1,PPP2R2B,XP_021405741.1
GCF_001858045.2,PPP2R2B,XP_005473221.1
GCF_902635505.1,PPP2R2B,XP_031812905.1
GCF_011764305.1,PPP2R2B,CAI5650836.1
GCF_001858045.2,PPP2R2B,XP_003445726.1
GCF_014570535.1,PPP2R2B,XP_036871853.1
GCF_014108235.1,PPP2R2B,XP_036191596.1
GCF_027744805.1,PPP2R2B,XP_054613278.1
GCF_902827165.1,PPP2R2B,XP_033973867.1
GCF_027595985.1,PPP2R2B,XP_054975428.1
GCF_027744805.1,PPP2R2B,XP_054629821.1
GCF_027744805.1,PPP2R2B,XP_054629820.1
GCF_001858045.2,PPP2R2B,XP_025763696.1
GCF_027744805.1,PPP2R2B,XP_054635271.1
GCF_900408965.1,PPP2R2B,XP_039880340.1
GCF_001890085.2,PPP2R2B,XP_019516962.1
GCF_000955945.1,PPP2R2B,XP_011914475.1
GCF_014108235.1,PPP2R2B,XP_036171401.1
